name,price,side_effects,used_for
Ketofresh CT Cream,₹ 90,"Thinning of skin,Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Kuff Q Tablet,₹ 34,"Nausea,Vomiting,Diarrhea,Bloating,Stomach pain,Indigestion,Loss of appetite,Dizziness,Headache,Sweating,Sleepiness,Rash,Insomnia (difficulty in sleeping),Allergic reaction,","Common cold symptoms,"
Kofarest-LS Syrup,₹ 119.24,"Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremor,Palpitations,Muscle cramp,Increased heart rate,","Cough with mucus,"
K-Ion 10mg Tablet,₹ 71.20,"Headache,Nausea,Vomiting,Weakness,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),","Angina (heart-related chest pain),"
Kenz Lotion,₹ 209,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Kenz Soap,₹ 135,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Foracort Inhaler 400,₹ 408.05,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Foivir 400mg Tablet,₹ 700,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Fenak Plus Tablet,₹ 25.10,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,","Pain relief,"
Flozen-AA Tablet,₹ 89.90,"Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,","Pain relief,"
Forecox Tablet,₹ 75.10,"Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,","Tuberculosis (TB),"
Fibrodone Tablet,₹ 256.60,"Insomnia (difficulty in sleeping),Headache,Dizziness,Tiredness,Sinus inflammation,Loss of appetite,Upper respiratory tract infection,Weight loss,","Treatment of Idiopathic pulmonary fibrosis,"
Flogel Eye Drop,₹ 156.79,"Eye redness,Burning eyes,Stinging in the eyes,Allergic reaction in eye,","Dry eyes,"
Febustat 40 Tablet,₹ 223.60,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Fortwin 30mg Injection,₹ 5.58,"Headache,Drowsiness,Fatigue,Vomiting,Constipation,Sweating,Dryness in mouth,Injection site reactions (pain, swelling, redness),","Moderate to severe pain,"
Flavospas Tablet,₹ 188.65,"Nausea,Vomiting,Dryness in mouth,Headache,Drowsiness,Dizziness,Blurred vision,Nervousness,Sweating,","Treatment of Muscle spasms of the urinary tract,"
Feburic 40 Tablet,₹ 128,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Favipill 400mg Tablet,₹ 720,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Finalo Tablet,₹ 53.50,"Decreased libido,Erectile dysfunction,Ejaculation disorder,","Treatment of Hair loss,"
Fertomid 50 Tablet,₹ 92.96,"Nausea,Vomiting,Bloating,Headache,Enlarged Ovary,Hot flashes,Metrorrhagia (menstrual bleeding at irregular intervals),Breast discomfort,","Female infertility,"
Foracort 0.5mg Respules 2ml,₹ 301,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Flagyl Suspension,₹ 30.11,"Headache,Dryness in mouth,Nausea,Metallic taste,","Bacterial infections,Parasitic infections,"
Fusiwal Cream,₹ 148.97,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,"
Fertyl Tablet,₹ 85.45,"Nausea,Vomiting,Bloating,Headache,Enlarged Ovary,Hot flashes,Metrorrhagia (menstrual bleeding at irregular intervals),Breast discomfort,","Female infertility,"
Febrex Plus Syrup,₹ 75,"Vomiting,Nausea,Diarrhea,Rash,Dizziness,Headache,","Treatment of Common cold symptoms,"
Fudic Cream,₹ 101.78,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,"
Fosfocin Powder,₹ 298,"Headache,Dizziness,Vaginal inflammation,Indigestion,","Bacterial infections of urinary tract,"
Flogel Ultra  Eye Drop,₹ 363,"Itching,Irritation,Stinging sensation,Blurred vision,","Treatment of Dry eyes,"
Fenolip 145 Tablet,₹ 194.32,"Increased liver enzymes,Nausea,Vomiting,Flatulence,Abdominal pain,Diarrhea,","High cholesterol,"
Fempro Tablet,₹ 71.69,"Fatigue,Hypercholesterolemia (high cholesterol),Increased sweating,Hot flashes,","Breast cancer,Infertility due to anovulation,"
Fibator Tablet,₹ 222,"Nausea,Stomach pain,Constipation,Flatulence,Headache,Muscle pain,Increased liver enzymes,Increased glucose level in blood,","High cholesterol,Prevention of Heart attack,"
Fidonal Cream,₹ 300,"Anal irritation,","Anal fissure,"
Flexon Suspension,₹ 29.50,"Nausea,Vomiting,Abdominal pain,Heartburn,Diarrhea,","Pain relief,Treatment of Fever,"
Flexabenz Plus Tablet SR,₹ 228.50,"Nausea,Stomach pain/epigastric pain,Dryness in mouth,Heartburn,Diarrhea,Loss of appetite,Sleepiness,Dizziness,","Pain due to muscle spasm,"
Fungicros Nail Lacquer,₹ 580,"Blisters on skin,Nail disorder,Skin irritation,Skin rash,Erythema (skin redness),","Fungal nail infections,"
Furic 40mg Tablet,₹ 192.75,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Grilinctus-LS Syrup,₹ 95.23,"Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremor,Palpitations,Muscle cramp,Increased heart rate,","Cough with mucus,"
Gluconorm SR 500mg Tablet,₹ 31.49,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Glimestar-M 2 Tablet PR,₹ 90.75,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Gerbisa Tablet,₹ 11.17,"Vomiting,Bloating,Nausea,Stomach cramp,","Constipation,"
Glykind-M Tablet,₹ 73.81,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Gluconorm G2 Tablet PR,₹ 217.10,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glucored Forte Tablet,₹ 51.40,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glucreta 10mg Tablet,₹ 149,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Gibtulio 25mg Tablet,₹ 622,"Nausea,Frequent urge to urinate,Increased thirst,Urinary tract infection,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Gluconorm-G 1 Tablet PR,₹ 154,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Gutron 2.5mg Tablet,"₹ 1,455","Headache,Nausea,Rash,Difficulty in urination,","Low blood pressure,"
Gabaneuron 100 Tablet,₹ 85,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
GB 29 Total Tablet,₹ 195,"Constipation,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Dizziness,Sleepiness,Tiredness,Blurred vision,Dryness in mouth,Difficulty in urination,Uncoordinated body movements,","Neuropathic pain,"
Glimestar-PM2 Tablet ER,₹ 109.89,"Hypoglycemia (low blood glucose level),Nausea,Taste change,Diarrhea,Stomach pain,Headache,Edema (swelling),Weight gain,Blurred vision,Bone fracture,Respiratory tract infection,","Type 2 diabetes mellitus,"
Galvus Met 50mg/1000mg Tablet,₹ 285.10,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Glyxambi 25mg/5mg Tablet,₹ 780,"Urinary tract infection,Nasal congestion (stuffy nose),Sore throat,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Gemer P 2 Tablet ER,₹ 150,"Hypoglycemia (low blood glucose level),Nausea,Taste change,Diarrhea,Stomach pain,Headache,Edema (swelling),Weight gain,Blurred vision,Bone fracture,Respiratory tract infection,","Type 2 diabetes mellitus,"
Gabapin 300 Capsule,₹ 310,"Dizziness,Fatigue,Fever,Impaired coordination,Nausea,Nystagmus (involuntary eye movement),Peripheral edema,Sleepiness,Viral infection,Vomiting,","Neuropathic pain,Epilepsy/Seizures,"
Gliptagreat M 500 Tablet,₹ 67.50,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Gardenal 60 Tablet,₹ 59.05,"Drowsiness,Nausea,Diarrhea,Hyperactivity,Depression,Confusion,Decreased blood pressure,Fatigue,Headache,Dizziness,Constipation,Excitement,Hangover,","Epilepsy/Seizures,"
Gudcef Plus Tablet,₹ 195,"Nausea,Vomiting,Diarrhea,Stomach pain,Headache,","Bacterial infections,"
GTN Sorbitrate CR 2.6 Tablet,₹ 207.86,"Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),","Angina (heart-related chest pain),"
Ginette 35 Tablet,₹ 358.62,"Nausea,Stomach pain,Headache,Weight gain,Breast pain,Mood changes,","Polycystic ovarian syndrome (PCOS),"
Grisovin-FP Tablet,₹ 17.79,"Headache,Skin rash,Nausea,Diarrhea,Dizziness,","Fungal infections,"
Gabaneuron Tablet,₹ 210,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
Glycomet-GP 1 Forte Tablet SR,₹ 78.83,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glucobay 50 Tablet,₹ 146,"Flatulence,Abdominal pain,Diarrhea,","Type 2 diabetes mellitus,"
Glynase Tablet,₹ 7.38,"Dizziness,Diarrhea,Nervousness,Tremor,Hypoglycemia (low blood glucose level),Flatulence,","Type 2 diabetes mellitus,"
Gabantin 100 Capsule,₹ 75,"Dizziness,Fatigue,Fever,Impaired coordination,Nausea,Nystagmus (involuntary eye movement),Peripheral edema,Sleepiness,Viral infection,Vomiting,","Neuropathic pain,Epilepsy/Seizures,"
Gabapin ME Tablet,₹ 200,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
Dabistar 110 Capsule,₹ 290.10,"Bleeding,Nausea,Stomach pain,Indigestion,","Treatment and prevention of Blood clots,"
Duphalac Oral Solution Lemon,₹ 286.12,"Abdominal pain,Nausea,Vomiting,Diarrhea,","Constipation,Hepatic encephalopathy,"
Diclowin Plus Tablet,₹ 20,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,","Pain relief,"
Dentogel,₹ 95,"No common side effects seen,","Treatment of Mouth ulcers,"
Diclofenac Sodium 50mg Tablet,₹ 16.50,"Edema (swelling),Nausea,Headache,Dizziness,Vomiting,Constipation,Itching,Flatulence,Indigestion,Pain in extremity,","Pain relief,"
Deplatt Tablet,₹ 86.50,"Bleeding,","Prevention of heart attack and stroke,"
Doxy A 100mg Capsule,₹ 15,"Vomiting,Nausea,Diarrhea,","Treatment of Bacterial infections,Treatment of Acne,"
Desowen Cream,₹ 201,"Application site reactions (burning, irritation, itching and redness),Rash,","Skin conditions with inflammation & itching,"
Dytor 20 Tablet,₹ 152.39,"Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,","Hypertension (high blood pressure),Edema,"
Defza 6 Tablet,₹ 130.20,"Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),","Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,"
D-Veniz 50 Tablet ER,₹ 151,"Anxiety,Constipation,Decreased appetite,Dizziness,Increased sweating,Insomnia (difficulty in sleeping),Nausea,Sexual dysfunction,Vomiting,","Depression,"
D Cold Total  Tablet,₹ 21.25,"Nausea,Vomiting,Headache,Restlessness,Increased heart rate,","Common cold symptoms,"
Dicorate ER 500 Tablet,₹ 152,"Headache,Dizziness,Blurred vision,Weakness,Abdominal pain,Infection,Nausea,Vomiting,Sleepiness,Hair loss,Weight gain,Double vision,Diarrhea,Tremor,Weight loss,Flu-like symptoms,","Epilepsy/Seizures,Bipolar disorder,Prevention of Migraine,"
Doxovent Tablet,₹ 26.50,"Vomiting,Headache,Nausea,Upset stomach,","Treatment and prevention of Asthma,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),"
Dermiford Cream,₹ 80,"Thinning of skin,Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Domstal Baby Oral Drops,₹ 69.20,"Headache,Dryness in mouth,Stomach pain,Diarrhea,","Indigestion,Nausea,Vomiting,"
Depo-Medrol 40mg Injection,₹ 70.53,"Nausea,Dizziness,Headache,Sweating,Edema (swelling),","Rheumatic disorder,Asthma,Allergic conditions,Eye disorders,Skin disorders,"
Doxy Tablet,₹ 69.50,"Vomiting,Nausea,Diarrhea,","Treatment of Bacterial infections,Treatment of Acne,"
Dilzem -SR Tablet,₹ 156.15,"Headache,Constipation,Dizziness,Fatigue,Flushing (sense of warmth in the face, ears, neck and trunk),Nausea,Rash,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,"
Dobesil 500mg Capsule,₹ 195,"Skin rash,Fever,Nausea,Vomiting,","Piles,Varicose veins,"
Daxid 50mg Tablet,₹ 159.23,"Delayed ejaculation,Erectile dysfunction,Indigestion,Insomnia (difficulty in sleeping),Low sexual desire,Nausea,Tremor,Diarrhea,Increased sweating,Loss of appetite,","Depression,Post traumatic stress disorder,Obsessive-compulsive disorder,Panic disorder,Premenstrual dysphoric disorder,Anxiety,Premenstrual syndrome (PMS),"
Daonil Tablet,₹ 44.33,"Hypoglycemia (low blood glucose level),Nausea,Headache,Dizziness,","Type 2 diabetes mellitus,"
Dermi 5 Cream,₹ 49.50,"Thinning of skin,Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Dydrofem 10mg Tablet,₹ 550,"Headache,Nausea,Breast pain,","Female infertility,Pain during menstruation,Premenstrual syndrome (PMS),Endometriosis,Heavy menstrual bleeding,"
Deriphyllin Retard 300 Tablet PR,₹ 42.75,"Nausea,Vomiting,Headache,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Damita 10mg Tablet,₹ 142,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Depin 5 Capsule,₹ 64.40,"Dizziness,Edema (swelling),Fatigue,Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Palpitations,Constipation,","Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),Prevention of Heart attack,Prevention of Stroke,"
Diligan 25 Tablet,₹ 174,"Sleepiness,","Motion sickness,Vertigo,"
Duoluton L Tablet,₹ 203.30,"Nausea,Headache,Breast pain,Irregular uterine bleeding,","Contraception,"
Brutaflam-Plus Tablet,₹ 102.85,"Diarrhea,Indigestion,Stomach pain,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain relief,"
Dutas Capsule,₹ 955.25,"Low sexual desire,Impotence,Allergic reaction,Decreased sperm count,","Treatment of Benign prostatic hyperplasia,"
Brugel,₹ 158.24,"No common side effects seen,","Pain relief,"
Bisonext 5mg Tablet,₹ 118.80,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Bladmir 50mg Tablet,₹ 320,"Constipation,Headache,High blood pressure,Nasal inflammation,Urinary tract infection,","Treatment of Overactive bladder (OAB) symptoms,"
Bilambic 20mg Tablet,₹ 108,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Betadine 5 % Solution,₹ 218.40,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Buvalor 10mg Transdermal Patch,"₹ 2,400","Constipation,Dizziness,Drowsiness,Headache,Nausea,","Treatment of Moderate to severe pain,Treatment of Opioid (Morphine) dependence,"
Byloza Tablet,₹ 132,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Bilambic M 20mg/10mg Tablet,₹ 90,"Limited data available,","Treatment of Allergic conditions,"
Betagel-G Cream,₹ 16,"Application site irritation,Burning sensation,","Bacterial skin infections,"
Bilagra M 20mg/10mg Tablet,₹ 158,"Limited data available,","Treatment of Allergic conditions,"
Betadine 5% Ointment,₹ 67,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Billargic M Tablet,₹ 160,"Limited data available,","Treatment of Allergic conditions,"
Bimat LS Eye Drop,₹ 222,"Conjunctival hyperemia ,Eye itching,","Ocular hypertension,Glaucoma,"
Betnelan Tablet,₹ 10.65,"Reduction in bone density,Upset stomach,","Allergic conditions,"
Budamate 400 Transhaler,₹ 395.11,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Benitowa 4 Tablet,₹ 106,"Abdominal pain,Dizziness,Edema (swelling),Fatigue,Headache,Nausea,Palpitations,Sleepiness,","Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),"
Budetrol 200 Inhaler,₹ 316.03,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
